"time","metric","group","scenario","name","method","status","expected_response","load_zone","tags","count","min","mean","median","p95","p99","max","stdev"
"2025-09-17T20:43:51+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",70,17.815127,42.2521683285714,27.327000617981,155.083800506592,191.629387359619,196.504783,41.3883106066599
"2025-09-17T20:43:54+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",2826,19.237142,28.5548745813871,24.7029991149902,51.7109985351562,92.7989997863768,295.956567,15.7252664795419
"2025-09-17T20:43:54+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",688,14.951456,60.5203394447674,35.3269996643066,197.630996704102,303.369237365723,374.360538,62.4682076902701
"2025-09-17T20:43:57+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3064,19.328705,27.0999049184073,24.5750007629395,42.2005989074707,73.7269973754883,119.53967,9.3529588524241
"2025-09-17T20:43:57+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",640,15.67761,47.2035454953125,32.0629997253418,123.518998718262,177.878039093018,192.156117,34.7983204178349
"2025-09-17T20:44:00+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",2656,19.46598,36.095542596009,27.1350002288818,81.9189987182617,184.779801177978,370.208135,28.8844101156559
"2025-09-17T20:44:00+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",458,15.653847,103.940678034935,38.9109992980957,428.338206481934,583.392265014648,636.96754,135.268178954041
"2025-09-17T20:44:03+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3620,19.196689,28.163956089779,24.7029991149902,46.3349990844727,79.1644407653809,176.788045,11.673892218076
"2025-09-17T20:44:03+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",134,19.556615,72.0326680522388,49.0230007171631,187.083800506592,241.355798797607,251.038519,55.8986475286436
"2025-09-17T20:44:06+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3845,19.008977,26.4508351529259,23.6790008544922,39.4230003356934,90.1110000610352,169.641163,10.9824018884395
"2025-09-17T20:44:06+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",22,42.129616,135.576657181818,145.406997680664,215.858203125,232.283643341064,236.595458,61.5172846798873
"2025-09-17T20:44:09+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3868,19.037608,26.917953421665,23.9349994659424,44.798999786377,77.8178780364989,152.462835,10.011911786225
"2025-09-17T20:44:09+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",9,29.974537,70.3169921111111,70.1429977416992,103.824955749512,108.13533416748,109.212929,23.9684936864326
"2025-09-17T20:44:12+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3935,19.048965,25.7175823062261,23.6790008544922,35.1477993011474,66.5589981079102,119.100375,8.13363397636265
"2025-09-17T20:44:15+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3950,18.893847,25.4586628956962,23.4230003356934,33.9318006515503,70.4143582916261,181.155438,9.38523188616596
"2025-09-17T20:44:18+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3946,18.930823,25.628793146224,23.2950000762939,36.6069984436035,75.2630004882812,115.002755,9.16316053950488
"2025-09-17T20:44:18+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",2,91.137544,93.3467405,93.3467407226562,94.8765045166016,95.0124835205078,95.046481,2.40379606761482
"2025-09-17T20:44:21+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",1966,18.9405,24.9875791978637,23.2950000762939,32.9589986801147,63.5765996932983,117.497703,7.52239390913445
