"time","metric","group","scenario","name","method","status","expected_response","load_zone","tags","nz_count","count"
"2025-09-17T20:44:03+00:00","http_req_failed","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",0,3620
"2025-09-17T20:44:03+00:00","http_req_failed","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",134,134
"2025-09-17T20:44:06+00:00","http_req_failed","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",0,3845
"2025-09-17T20:44:06+00:00","http_req_failed","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",22,22
"2025-09-17T20:44:09+00:00","http_req_failed","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",0,3868
"2025-09-17T20:44:09+00:00","http_req_failed","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",9,9
"2025-09-17T20:44:12+00:00","http_req_failed","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",0,3935
"2025-09-17T20:44:15+00:00","http_req_failed","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",0,3950
"2025-09-17T20:44:18+00:00","http_req_failed","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",0,3946
"2025-09-17T20:44:18+00:00","http_req_failed","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",2,2
"2025-09-17T20:44:21+00:00","http_req_failed","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",0,1966
